freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,A,AT	129.09 	129.46 	129.28 	128.83 	131.16 	126.22 	143.13 	118.23 	139.13 	130.04 	147.24 
A,ENV,MIO_EUR,A,BE	47.75 	84.86 	114.3 	171.28 	198.05 	205.84 	210.54 	235.15 	101.54 	86.94 e	92.53 e
A,ENV,MIO_EUR,A,BG	62.98 	60.75 	63.92 	59.3 	58.36 	60.7 	65.62 	59.56 	65.88 	67.38 	69.32 
A,ENV,MIO_EUR,A,CH	159.76 	175.63 	249.48 	260.27 	263.26 	251.72 	262.86 	259.63 	250.56 	283 	298.93 p
A,ENV,MIO_EUR,A,CY	2.31 	2.47 	2.99 	2.65 	4.43 	4.7 	6.98 	6.53 	6.37 	5.93 	6.13 
A,ENV,MIO_EUR,A,CZ	157.83 	159.72 	167.43 	177.9 	172.61 	166.97 	172.62 	178.06 	168.13 	137.87 	161.79 
A,ENV,MIO_EUR,A,DE	1314.2 	1207.06 	1397.29 	1397.16 	1499.91 	1471.1 	1305.67 be	1316.03 e	1461.01 e	1175.79 e	1199.02 bep
A,ENV,MIO_EUR,A,DK	250.46 	282.31 	289.8 	280.7 	256.72 	249.01 	248.22 	250.36 	257.33 	258.96 p	247.91 p
A,ENV,MIO_EUR,A,EE	17.86 	19.17 	47.65 	52.7 	43.18 	42.23 	60.73 	38.21 	47.4 	47.48 	46.4 
A,ENV,MIO_EUR,A,EL	367.82 	378.14 	380.04 	387.94 	397.93 	344.74 	362.33 	398.88 	412.86 	427 	410.87 
A,ENV,MIO_EUR,A,ES	171.75 	162.64 	205.76 	228.55 	250.19 	266.59 	255.94 	252.55 	264.23 	210.56 	227.16 
A,ENV,MIO_EUR,A,EU27_2020	6611.51 	6781.73 	7452.17 	7589.76 	7941.96 	7608.43 	7418.03 	7516.06 	7700 	6533.25 	6950 
A,ENV,MIO_EUR,A,FI	134.45 	120.2 	169.7 b	192.11 b	191.57 	214.23 	191.62 	204.8 	213.91 	161.56 	174.69 
A,ENV,MIO_EUR,A,FR	974.66 e	986.78 e	1041.7 e	1018.73 e	1078.69 e	956.21 e	904.05 e	999.66 e	973 e	919.56 p	871.84 p
A,ENV,MIO_EUR,A,HR	49.46 	53.15 	58.86 	61.34 	64.24 	68.84 	73.89 	65.2 	71.52 	70.09 	78.87 
A,ENV,MIO_EUR,A,HU	136.41 	133.23 	144.62 	147.75 	272.6 	159.34 	155.5 	155.58 	146.87 	110.87 	124.88 
A,ENV,MIO_EUR,A,IE	64.63 	51.52 	59.21 	60.52 	66.69 	70.77 	63.62 	63.38 	72.2 	56.47 	54.75 
A,ENV,MIO_EUR,A,IS	11.28 	12.83 	14.6 	16.65 	20.61 	23.06 	19.54 	18.48 	18.36 	23.64 	25.67 
A,ENV,MIO_EUR,A,IT	1092.72 	1125.25 	1249.72 	1280.24 	1308.75 	1287.99 	1288.47 	1288.06 	1247.66 	806.08 	1142.98 p
A,ENV,MIO_EUR,A,LT	24.35 	38.85 	62.83 	63.74 	62.18 	67.72 	65.06 	60.89 	74.02 	89.39 	92.68 
A,ENV,MIO_EUR,A,LU	0.32 	0.31 	0.44 	0.46 	0.46 	0.53 	0.28 	0.62 	0.63 	0.77 	0.82 
A,ENV,MIO_EUR,A,LV	42.18 	36.69 	58.73 	69.99 	46.16 	52.79 	46.41 	54.83 	40.22 	42.97 	44.99 
A,ENV,MIO_EUR,A,MK	: 	: 	: 	: 	: 	: 	27.42 	26.2 	22.72 	16.46 	: 
A,ENV,MIO_EUR,A,MT	1.99 	2.42 	4.44 	4.25 	3.81 	5.45 	5.1 	2.59 	2.42 	2.38 	2.57 
A,ENV,MIO_EUR,A,NL	506 	674 	678 	717 	746 	765 	790 	817 	844 	767 	753 p
